BLACKBIRD BEND CASINO,070000017,IA,,,07,NTNCWS,919,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000017
FUEL PLAZA - CASINOMAHA,070000019,IA,,,07,TNCWS,600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000019
IOWA TRIBE OF KS & NE,070000008,KS,,,07,CWS,690,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000008
KICKAPOO TRIBAL WATERWORKS,070000002,KS,,,07,CWS,1769,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000002
MACY SANITARY DISTRICT,070000001,NE,,,07,CWS,1560,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000001
OMAHA TRIBE PWS,070000007,NE,,,07,CWS,1800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000007
PONCA TRIBE OF NEBRASKA,070000016,NE,,,07,CWS,1200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000016
PONY EXPRESS - ROSALIE,070000023,NE,,,07,TNCWS,159,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000023
PONY EXPRESS-BAGO,070000020,NE,,,07,TNCWS,1084,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000020
POTAWATOMI - PRAIRIE BAND,070000012,KS,,,07,CWS,650,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000012
POW WOW NORTH,073121433,NE,,,07,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=073121433
SAC & FOX (MESKWAKI) IN IOWA,070000003,IA,,,07,CWS,4765,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000003
SAC & FOX - MISSOURI RIVER,070000013,KS,,,07,CWS,51,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000013
SANTEE SIOUX TRIBE OF NEBRASKA,070000004,NE,,,07,CWS,2800,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000004
ST AUGUSTINE INDIAN MISSION,070000009,NE,,,07,CWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000009
THUNDERHILL SPEEDWAY,070000018,KS,,,07,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000018
TWIN CREEKS GOLF CLUB,070000024,NE,,,07,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000024
WINNAVEGAS CASINO,070000014,IA,,,07,NTNCWS,1940,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000014
WINNEBAGO TRIBE,070000011,NE,,,07,TNCWS,325,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000011
WINNEBAGO TRIBE MISSION DRIVE,073121434,,,,07,CWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=073121434
WINNEBAGO TRIBE POW WOW GROUNDS,070000006,NE,,,07,CWS,80,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000006
WINNEBAGO TRIBE- THUNDER WAY HOUSING,070000010,NE,,,07,CWS,60,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000010
"WINNEBAGO, VILLAGE OF",070000005,NE,,,07,CWS,768,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=070000005
